growth_mode,G0_nm,T1_C,rho_switch,T2_C,rho_target,growth_tolerance,first_step_attained,classification
threshold_mobility,150.0,1300.0,0.85,1150.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1300.0,0.85,1150.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1300.0,0.85,1175.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1300.0,0.85,1175.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,150.0,1300.0,0.85,1200.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1300.0,0.85,1200.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,150.0,1300.0,0.85,1225.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1300.0,0.85,1225.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,150.0,1300.0,0.85,1250.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1300.0,0.85,1250.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1300.0,0.85,1275.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1300.0,0.85,1275.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1300.0,0.85,1300.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1300.0,0.85,1300.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.75,900.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,900.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,925.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,925.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,950.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,950.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,975.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,975.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1000.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1000.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1025.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1025.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1050.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1050.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1075.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1075.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1100.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1100.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1125.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1125.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1150.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1150.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1175.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.75,1175.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.75,1200.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.75,1200.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.75,1225.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.75,1225.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.75,1250.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.75,1250.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.75,1275.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.75,1275.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.75,1300.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.75,1300.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.8,900.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,900.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,925.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,925.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,950.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,950.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,975.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,975.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1000.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1000.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1025.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1025.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1050.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1050.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1075.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1075.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1100.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1100.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1125.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1125.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1150.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1150.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1175.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.8,1175.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.8,1200.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.8,1200.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.8,1225.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.8,1225.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.8,1250.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.8,1250.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.8,1275.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.8,1275.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.8,1300.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.8,1300.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.85,900.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,900.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,925.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,925.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,950.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,950.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,975.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,975.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1000.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1000.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1025.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1025.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1050.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1050.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1075.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1075.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1100.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1100.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1125.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1125.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1150.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1150.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,150.0,1350.0,0.85,1175.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.85,1175.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.85,1200.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.85,1200.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.85,1225.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.85,1225.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,150.0,1350.0,0.85,1250.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.85,1250.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.85,1275.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.85,1275.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.85,1300.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,150.0,1350.0,0.85,1300.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.75,900.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,900.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,925.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,925.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,950.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,950.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,975.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,975.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1000.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1000.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1025.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1025.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1050.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1050.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1075.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1075.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1100.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1100.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1125.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1125.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1150.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1150.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1175.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.75,1175.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.75,1200.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.75,1200.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.75,1225.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.75,1225.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.75,1250.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.75,1250.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.75,1275.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.75,1275.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.75,1300.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.75,1300.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.8,900.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,900.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,925.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,925.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,950.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,950.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,975.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,975.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1000.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1000.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1025.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1025.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1050.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1050.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1075.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1075.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1100.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1100.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1125.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1125.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1150.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1150.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1175.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.8,1175.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.8,1200.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.8,1200.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.8,1225.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.8,1225.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.8,1250.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.8,1250.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.8,1275.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.8,1275.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.8,1300.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.8,1300.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.85,900.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,900.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,925.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,925.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,950.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,950.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,975.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,975.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1000.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1000.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1025.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1025.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1050.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1050.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1075.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1075.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1100.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1100.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1125.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1125.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1150.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1150.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1250.0,0.85,1175.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.85,1175.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.85,1200.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.85,1200.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.85,1225.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.85,1225.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,225.0,1250.0,0.85,1250.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.85,1250.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.85,1275.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.85,1275.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.85,1300.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1250.0,0.85,1300.0,0.9,0.1,True,GRAIN_GROWTH_FAILURE
threshold_mobility,225.0,1300.0,0.75,900.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,900.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,925.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,925.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,950.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,950.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,975.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,975.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1000.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1000.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1025.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1025.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1050.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1050.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1075.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1075.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1100.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1100.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1125.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1125.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1150.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1150.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1175.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1300.0,0.75,1175.0,0.9,0.1,True,DENSIFICATION_EXHAUSTION_FAILURE
threshold_mobility,225.0,1300.0,0.75,1200.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1300.0,0.75,1200.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,225.0,1300.0,0.75,1225.0,0.9,0.05,True,MIXED_FAILURE
threshold_mobility,225.0,1300.0,0.75,1225.0,0.9,0.1,True,MIXED_FAILURE
threshold_mobility,225.0,1300.0,0.75,1250.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE
